@relation 'project-crime-binary-weka.filters.supervised.instance.Resample-B0.0-S1-Z14.16-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1-3,5-12,14-15,17-19,21-27,29-32,34-41,43,45-50,52-67,70-73,75-77,79-101'

@attribute pctWhite numeric
@attribute medIncome numeric
@attribute pctWdiv numeric
@attribute medFamIncome numeric
@attribute persPoverty numeric
@attribute pctUnemploy numeric
@attribute pctAllDivorc numeric
@attribute pct2Par numeric
@attribute pctKidsBornNevrMarr numeric
@attribute pctPersOwnOccup numeric
@attribute pctPopDenseHous numeric
@attribute pctHousOwnerOccup numeric
@attribute pctHousWOphone numeric
@attribute Class {0,1}

@data
52.39,18641,23.95,23338,2984,6.76,14.15,54.36,7.52,61.85,4.71,61.12,13.5,0
73.19,20429,29.6,25121,3515,7.35,13.88,59.2,7.61,51.23,4.96,49.49,15.46,0
82.13,28734,19.47,29883,2338,5.17,15.55,71.45,2.38,59.2,9.98,58.71,9.86,0
67.89,40579,52.96,49718,4371,5.77,10.94,76.41,1.71,64.85,2.34,53.92,0.66,0
69.05,22514,34.15,27171,3406,10.81,12.51,65.94,3.86,59.68,12,65.46,6.94,0
67.07,28289,26.16,31618,3032,9.13,14.45,68.07,3.2,53.65,9.85,52.92,10.08,0
68.08,25751,31.16,30456,2283,6.16,14.47,61.62,5.45,66.41,6.68,67.38,11.64,0
53.95,21898,33.86,29024,54669,9.35,12.37,58.08,9.92,56.7,5.33,52.83,5.96,0
80.74,25306,37.65,31115,9643,10.22,15.85,59.9,5.83,66.12,2.19,62.89,6.92,0
72.97,30151,34.48,33891,10148,7.87,12.82,73.6,2.74,58.18,9.25,56.69,10.04,0
54.97,24495,34.87,31147,23494,7.84,14.35,64.9,5.03,62.15,4.55,60.01,8.1,0
82.31,26394,36.1,35633,6525,5.97,10.61,70.01,5.68,52.6,2.5,47.57,5.05,0
93.76,24714,49.07,33705,8033,4.73,11.97,69.13,2.3,55.2,2.78,50.94,2.66,0
81.81,25859,38.74,30957,5970,8.36,13.15,62.21,7.11,61.84,2.41,60.18,8.13,0
86.66,19950,37.17,26757,14308,9.39,11.35,60.08,6.19,52.86,1.66,48.88,10.38,0
60.64,25533,27.88,28843,36174,10.69,15.47,61.49,7.94,51.21,14.54,52.25,7.95,0
7.26,8866,5.81,10447,7370,28.94,18.77,23.22,27.35,37.77,8.63,36.87,23.88,0
49.62,24055,28.13,29489,8804,5.66,12.89,58.43,9.71,53.63,4.22,52.64,8.66,0
41.41,16331,17.99,21013,9790,10.58,14.46,52.44,10.7,60.05,5.06,59.07,7.18,0
91.28,54348,55.83,83272,2105,3.8,12.23,75.73,1.04,54.32,3.27,43.85,0.4,0
39.16,22176,32.66,31318,2644,9.46,9.05,56.23,8.21,53.77,4.59,55.21,12.64,0
91.94,20891,43.07,29169,10291,8.21,12.76,62.93,3.48,48.99,1.37,44.42,7.18,0
35.96,19193,23.14,23892,64572,9.24,15.71,52.09,9.04,56.3,3.97,53.39,6.13,0
97.15,40404,40.45,41860,2031,4.52,10.35,81.1,1.71,91.59,2.46,90.16,0.52,0
74.14,35681,46.1,43260,3375,5.29,13.18,72.16,1.46,62.07,5.19,58.51,1.73,0
64.8,13863,20.72,18467,5186,14.82,14.12,54.32,6.93,64.57,3.94,65.92,12.25,0
79.32,25918,33.51,29709,8110,7.25,12.71,71.91,4.68,58.07,4.32,57.38,5.77,0
94.67,37159,52.06,46275,443,3.3,12.42,78.76,0.94,71.3,2.03,65.36,0.93,0
92.53,29407,58.22,46208,14393,5.05,10.73,71.57,1.83,50.35,2.29,46.15,1.64,0
40.54,17206,25.86,21280,6842,9.18,13.67,48.02,12.77,56.24,5.84,55.54,9.51,0
97.8,17985,35.85,24635,2500,8.38,12.26,62.29,2.77,61.09,2.33,55.38,6.43,0
72.5,22365,19.91,23896,4553,14.81,10.98,68.15,5.49,49.89,20.79,49.35,8.46,0
86.96,51253,49.51,58187,1160,3.31,10.85,82.69,1.23,68.99,5.15,63.51,1.28,0
72.2,21946,40.51,28932,1803,4.7,8.53,67.85,5.49,61.34,5.01,60.72,10.34,0
58.54,28704,32.76,33090,23463,10.62,12.62,53.59,12.01,45.05,6.74,44.15,8.66,0
94.66,38619,57.78,45938,513,3.04,10.75,78.93,1.12,76.54,1.07,72.46,0.52,0
73.69,19157,27.47,23440,2689,8.51,10.51,75.23,1.79,65.95,6.25,66.37,13.7,0
54.32,22079,30.42,26894,49215,11.45,14.75,57.58,10.19,61.96,5.1,60.5,6.45,0
70,18404,13.3,20386,6051,13.67,9.28,72.32,5.23,60.66,23.43,59.03,12.56,0
83.01,17826,31.22,22815,4106,9.51,12.18,70.73,2.45,64.59,4.78,64.15,12.69,0
55.19,21864,27.93,27231,8947,7.67,12.97,59.97,8.59,51.28,5.61,50.1,10.61,0
69.88,22577,39.49,29277,11887,5.78,11.19,71.93,4.45,51.58,7.14,48.26,8.37,0
70.89,41435,34.82,44208,5468,5.7,12.08,74.82,2.77,56.56,14.13,56.17,1.68,0
64.75,18482,32.46,23887,81601,11.58,12.96,49.18,10.52,47.48,2.14,43.14,9.08,0
95.09,37862,63.17,47077,1190,3.56,7.68,79.49,1.25,76.57,1.13,68.44,0.49,0
95.21,29961,39.41,35390,3929,12.1,13.02,68.26,2.03,78.48,2.29,76.08,4.1,0
67.45,42186,28.65,44100,9870,7.31,10.17,81.18,3.17,75.04,9.14,74.03,3.04,0
85.47,20831,35.41,25127,2833,6.41,12.88,72.16,1.65,63.29,7.07,61.78,8.41,0
92.27,21552,36.08,26927,7612,7.63,18.69,59.22,3.64,45.27,3.51,43.14,4.89,0
75.28,33140,52.67,39990,8794,5.15,9.51,63.59,5.54,33.22,4.15,30.35,1.53,0
46.85,22102,26.02,27076,29854,7.77,14.93,56.86,9.14,52.53,4.92,50.67,9.05,0
93.23,32659,31.61,36244,8325,8.88,12.96,68.46,3.36,70.31,3.17,67.75,2.6,0
80.67,19807,31.57,25177,17864,11.23,15.06,60.64,5.23,60.01,1.56,57.33,7.08,0
97.99,22191,35.73,28020,3099,6.82,15.71,64.53,2.97,57.17,2.69,51.73,6.17,0
78.47,19799,45.93,35632,3392,4.87,9.6,64.9,8.12,28.37,1.56,24.3,3.19,0
96.58,62021,69.94,66514,296,3.18,4.6,92.04,0.17,94.2,0.32,94.03,0.14,0
81.33,25384,34.75,31778,1745,5.73,13.09,68.13,3.99,60.22,2.9,57.5,10.71,0
76.11,25926,29.06,28639,3274,7.9,13.16,69.39,4.18,63.98,9.04,62.48,10.95,0
93.77,31231,35.77,34399,1173,4.2,15.1,73.81,1.03,65.77,2.82,64.82,1.81,0
84.18,40221,42.55,42843,866,3.57,9.1,82.71,3.11,81.79,2.85,80.61,3.16,0
96.41,21618,37.4,27514,1946,6.94,15.85,66.23,1.67,58.34,3.53,56.46,6.77,0
77.95,30876,25.65,33684,4007,10.04,12.08,76.84,2.19,64,10.72,64.76,1.08,0
42.35,59076,49.45,60689,2096,3.67,6.83,86.48,1.15,83.41,10.97,83.44,0.21,0
90.05,21522,35.6,26785,7286,10.79,15.01,59.08,5.27,57.04,2.17,54.51,8.59,0
84.1,23584,40.59,32972,10560,7.34,13.72,63.92,4.78,60.01,1.07,55.46,8.29,0
65.61,31873,37.52,38553,42312,4.16,13.26,67.14,6.75,58.65,3.33,54.98,4.28,0
79.72,22532,34.14,28544,4524,8.71,14.45,62.66,4.51,60.72,2.11,57.48,7.5,0
82.79,30141,39.91,33460,1103,4.77,19.11,64.7,2.95,44.26,4.31,39.32,2.68,0
52.26,17736,26.71,21900,21647,17.82,15.25,45.11,12.28,59.24,4.17,57.55,9.02,0
45.39,26301,33.16,30707,592298,11.32,12.99,54.35,12.08,45.76,8.78,41.48,7.82,0
85.65,28097,47.44,33004,727,3.57,13.54,73.62,0.93,66.2,1.62,68.5,2.48,0
91.25,22458,40.8,29499,4250,10.65,14.14,66.7,2.55,61.54,1.47,59.71,8.57,0
62.95,37911,43.53,45496,2125,5.76,11.34,70.94,4.75,73.62,3.57,68.08,2.95,0
79.55,30533,40.34,37942,12922,7.77,11.36,64.25,6.61,52.41,3.31,49.02,5.26,0
23.96,27301,25.84,32489,5261,9.74,14.8,49.48,12.66,34.25,8.77,28.14,7.31,0
95.24,25372,40.87,30792,1782,5.79,14.76,70.62,1.38,62.43,1.47,56.59,4.18,0
91.05,16600,26.22,20998,2595,12.8,17.75,55.92,2.34,62.24,6.51,65.59,10.41,0
89.13,26473,48.68,33434,10203,4.8,13.98,65.94,3.03,64.08,2.15,61.78,5.04,0
94.31,34372,40.93,41095,1661,5.13,11.89,78.88,1.06,71.4,2.83,67.27,3.51,0
49.49,17822,23.61,22448,142217,14,16.49,47.21,12.2,51.24,2.89,47.93,8.97,0
65.5,52442,54.17,65842,2223,5.41,10.52,73.15,4.1,64.67,2.05,55.85,1.02,0
21.07,22194,14.36,23768,4671,8.29,18.77,43.05,17.6,21.97,8.75,22.24,9.51,0
85.63,28539,44.79,33620,30995,6.73,13.53,74.43,2.29,58.29,2.92,54.72,4.06,0
91.63,28727,43.62,32917,1481,6.31,12.85,69.04,2.58,75.72,2.02,73.66,2.49,0
95.8,28950,39.43,33504,2505,3.27,13.21,75.5,0.95,67.61,3.19,60.97,3.32,0
53.67,23216,35.73,28488,16652,5.87,12.24,56.43,9.55,45.91,4.37,45.02,7.49,0
91.22,19474,28.95,22114,2436,9.88,16.23,63.66,3.38,50.99,6.61,50.21,4.53,0
95.64,30469,47.83,36688,1601,5.95,11.22,69.69,3.39,75.1,1.58,70.37,1.88,0
71.36,21754,23,27029,2010,4.6,15.19,59.59,4.73,49.09,2.82,49.59,9.31,0
82.53,32237,53.71,42431,764,4.17,10.98,75.47,2.66,67.96,0.8,58.54,1.61,0
38.93,27415,20.79,29331,2100,11.48,9.7,70.81,6.13,49.6,36.57,48.26,4.31,0
84.88,20427,21.32,24268,3766,10.59,16.93,61.46,4.59,57.72,7.91,58.9,9.68,0
84.03,41675,45.23,46847,7349,4.58,13.55,74.16,1.61,62.06,5.23,60.94,1.32,0
80.22,33863,42.47,40482,2004,3.92,15.61,67.96,2.83,46.77,2.02,43.09,2.78,0
74.46,23634,27.34,27245,5021,5.87,14.82,69.34,2.87,47.85,9.55,46.91,11.3,0
94.75,21579,37.59,26411,2582,9.82,15.27,66.58,1.1,58.24,3.25,57.47,5.88,0
87.04,51913,49.55,58760,3355,3.38,15.62,70.93,3.45,49.23,4.11,46.37,0.56,0
76.37,26540,43.85,31846,13136,7.63,12.6,61.87,7.24,62.2,3.23,59.62,5.27,0
76.14,25773,31.82,29855,50525,8.27,13.22,72.16,2.76,59.5,9.39,56.59,9.23,0
26.5,38463,30.78,42238,5604,8.65,12.79,56.66,12.27,54.49,10.44,50.98,7.43,0
71.27,23287,27.54,27897,5287,9.27,17.31,62.64,4.85,52.72,11.31,55.68,7.37,0
97.24,44688,56.48,51654,1033,2.57,11.7,78.49,0.67,76.59,1.32,74.01,0.82,0
76.65,20321,33.25,25000,2364,7.9,13.77,68.57,2.98,56.06,3.99,54.24,7.56,0
97.54,23156,35.86,31013,1871,5.83,12.72,73.71,2.51,64.37,1.29,60.02,7.25,0
40.89,22129,21.4,24040,10092,8.18,12.12,63.14,5.57,36.12,29.07,35.46,4.6,0
68.8,13804,22.48,17483,4746,11.14,12.35,60.23,8.09,58.99,6.27,60.67,13.3,0
67.6,17852,30.98,24058,27767,8.39,12.97,61.65,4.71,46.82,6.14,46.51,11.74,0
82.8,35997,48.27,51085,7979,4.81,16.26,69.12,3.53,34.14,5.38,27.51,1.36,0
83.43,24517,31.45,30812,3122,5.78,15.73,66.86,1.94,46.51,4.28,45.67,14.37,0
59.62,22446,31.78,28220,42838,9.13,13.52,61.16,7.64,61.3,3.91,58.07,6.34,0
89.13,26218,42.51,32611,14452,6.51,11.85,68,5.04,64.98,1.99,61.17,4.27,0
65.07,19970,31.01,24395,4946,8.74,11.83,66.54,3.26,58.86,11.12,58.69,16.98,0
97.31,19343,32.47,23860,3466,11.23,14.85,67.32,1.72,66.24,1.89,65.29,11.41,0
67.37,18631,35.07,24264,13026,7.89,14.77,49.12,7.96,49.1,4.17,46.85,11.11,0
58.37,19779,27.28,24819,46480,10.39,17.53,49.22,10.87,52.22,2.96,50.98,8.83,0
66.8,31741,37.73,39358,1534,5.49,14.39,63.68,9.52,65.94,8.67,60.86,2.76,0
69.63,41364,40.13,45007,8859,5.72,10.69,76.86,2.38,59.82,14.63,62.77,1.12,0
59.91,26803,43.49,34744,3004,5.77,15.55,54.13,8.94,56.55,3.22,52.66,4.57,0
81.57,26950,50.33,35318,4562,4.79,11.32,66.1,3.81,71.79,3.72,72.1,2.82,0
83.15,27538,41.98,34642,4991,5.41,16.1,66.62,3.37,57.97,7.37,58.87,3.03,0
24.26,21054,17.57,21787,5346,23.83,8.26,70.47,5.28,53.51,33.13,53.38,8.68,0
71.99,31146,54.61,36191,5307,7.2,11.22,61.66,5.48,68.88,5.26,70.3,4.25,0
85.35,15570,28.09,16994,3675,17.4,12.1,65.63,4.45,64.79,9.75,64.39,17.38,0
87.35,21949,30,27124,3261,7.26,13.51,70.63,1.18,67.44,2.77,67.39,9.2,0
72.11,25106,40.62,32038,78515,6.77,16.61,62.31,5.65,53.63,4.23,49.19,5.49,0
87.91,38250,38.61,43192,1234,5.09,9.68,78.08,2.15,82.15,1.8,77.8,0.96,0
89.25,26703,41.51,32772,24137,4.95,13.43,68.94,3.59,66.81,2.66,62.02,4.1,0
21.63,18742,18.62,22566,328467,19.67,17.88,37.07,16.59,55.72,5.44,52.91,8.26,0
58.5,36724,40.22,39916,1162,6.76,11.36,70.37,3.18,85.93,2.75,83.78,1.16,0
90.36,19749,28.36,23930,4148,7.93,15.19,64.29,3.05,59.44,2.18,57.74,12.51,0
71.46,14994,23.39,17147,5512,19.22,10.6,63.83,5,63.79,11.92,63.15,13.44,0
54.58,19038,22.26,22470,2639,8.71,14.42,52.31,8.41,61.89,6.51,61.67,16.75,0
65.53,31308,42.53,38058,3037,4.07,12,65.66,6.92,57.61,2.68,53.88,3.61,0
98.32,18514,42.53,22576,1969,5.97,13.98,65.16,1.71,64.29,2.12,64.78,5.76,0
89.69,22996,44.83,32654,2040,6.45,10.88,70.24,2.27,58.29,2.85,54.44,5.61,0
84.15,14316,29.89,20606,3500,10.5,13.01,67.42,1.19,55.27,3.17,54.26,15.75,0
51.71,27256,36.71,35024,19163,4.72,12.71,59.32,9.34,47.91,3.05,44.16,6.32,0
87.88,26710,39.84,33892,1444,4.21,17.92,65.35,3.18,59.68,4.81,57.68,5.45,0
93.56,19775,38.3,25419,2924,9.11,12.53,73.8,1.26,71.19,1.7,69,8.63,0
73.08,28698,30.3,31796,5947,9.95,12.88,72.99,3.75,60.79,8.58,60.76,4.54,0
98.83,41372,56.09,47445,385,4.41,5.92,85.89,0.82,91.2,0.54,86.9,0,0
7.21,26810,21.24,33263,12699,11.76,17.06,41.2,16.74,34.83,10.74,27.48,9.13,0
31.63,26787,24.14,30950,5720,8.58,16.32,51.39,10,49.94,6.29,49.67,9.26,0
84.64,25592,43.45,32424,62058,6.16,16.07,66.43,3.97,57.6,3.49,52.98,4.47,0
63.14,14555,27.36,19910,4212,10.72,13.67,59.73,4.87,63.71,3.3,64.59,16.25,0
89.3,31540,45.59,37431,4156,4.86,9.75,78.99,1.43,76.93,3.27,75.57,0.86,0
73.01,30733,32.61,35361,5739,7.2,11.5,67.22,6.12,68.73,5.77,67,5.96,0
70.23,15605,19.24,16656,14609,16.97,7.6,75.24,3.07,72.25,29.29,72.85,16.21,0
59.96,25147,21.64,28727,7184,13.9,11.32,71.46,4.43,54.23,21.55,52.54,5.57,0
65.59,39538,61.29,47751,1178,3.64,11.39,74.35,1.85,65.08,3.48,62.86,0.83,0
87.44,23487,38.21,28649,10482,8.2,14.35,68.87,2.64,61.97,4.54,58.81,5.8,0
81.67,18095,19.06,20562,2657,8.37,14.97,62.04,4.92,56.69,6.76,56.62,7.66,0
47.03,16305,26.07,20420,3643,8.38,12.48,52.33,8.59,48.73,2.94,49.55,9.89,0
83.95,25291,35.8,30251,5332,5.01,15.89,63.78,6.16,59.14,2.57,55.94,11.94,0
76.87,23460,27.54,25157,128886,9.85,11.54,72.19,3.76,60.32,14.01,57.62,8.62,0
90.52,46352,52.89,53215,643,3.32,15,73.51,0.74,45.67,3.85,40.4,1.79,0
93.83,25422,41.13,30373,3146,4.95,16.76,65.96,2.18,56,2.41,51.83,4.35,0
88.1,21301,41.57,28976,4550,9.18,12.69,69.13,2.26,58.7,4.27,56.59,6.03,0
91.02,22746,38.39,28090,6214,6.61,11.6,75.69,1.22,65.41,2.27,65.63,7.11,0
76.63,64338,61.11,78338,425,3.64,6.55,84.96,1.38,82.54,1.26,75.01,0.87,0
93.43,25369,50.06,34153,18176,6.42,12.92,70.42,1.89,56.17,2.61,50.75,3.07,0
88.19,21812,40.8,28542,4856,8.55,16.77,63.6,1.99,51.82,5.09,50.72,4.47,0
76.92,25576,35.35,30757,10227,6.83,12.03,73.92,2.58,59.81,7.56,58.18,10.44,0
93.96,32018,51.77,38998,1012,4.64,11.68,66.51,2.39,55.25,1.51,53.73,2.57,0
72.35,32033,64.07,33968,2963,8.62,14.3,74.64,3.34,31.88,6.53,31.09,8.2,0
96.3,36332,53.55,42427,582,2.27,11.95,80.06,1.23,69.13,0.76,61.83,1.2,0
98.85,24091,51.14,30546,1204,4.67,9.14,78.26,1.39,78.51,0.78,72.27,2.08,0
97.34,24604,44.99,32668,1342,4.26,10.56,73.18,2.56,76.62,1.83,70.06,3.22,0
66.12,23661,35.1,30459,14251,8.08,13,68.69,4.12,55.24,5.55,52.8,9.56,0
77.09,28911,36.1,33063,5149,7.17,12.2,75.8,3.57,66.52,7.26,65.06,8.67,0
52.36,21881,28.63,27881,8312,8.28,13.57,54.55,10.19,50.64,3.8,49.32,9.5,0
95.76,28964,38.95,33934,2649,6.29,14.59,67.97,2.79,71.03,2.69,68.07,3.51,0
79.64,28382,38.11,34952,6813,7.14,9.73,72.45,3.96,53.31,8.44,49.89,7.47,0
91.18,25236,43.59,31282,14300,6.4,15.59,69,3.02,57.36,3.98,54.7,4.69,0
88.71,31394,45.39,38265,3359,7.05,12.89,70.24,1.81,74.03,1.72,68.12,2.7,0
52.28,24906,32.94,31048,6266,6.17,12.85,56.8,8.81,59.21,4.77,57.39,9.6,0
97.8,26826,51.9,32182,3489,5.06,9.53,76.36,1.64,68.6,1.35,62.46,2.24,0
87.99,24402,36.32,29387,1880,7.2,17.19,62.26,2.48,50.81,6.73,50.34,5.83,0
54.35,37050,40.69,40615,1031,5.23,11.14,75.53,3.79,72.09,1.34,65.67,0.86,0
42.52,13704,17.14,17832,5405,15.94,13.96,51.58,9.32,52.89,7.3,52.19,16.63,0
69.61,27239,41.88,34010,24793,6.68,16.74,56.97,8.85,55.54,8.23,54.4,7.18,0
64.24,22102,32.48,26904,9015,6.22,17.43,50.83,11.16,43.01,7.96,42.44,11.14,0
53.68,18913,32.08,22601,10591,12.39,15.73,46.08,11.17,47.36,9.75,51.85,15.81,0
86.25,23835,34.84,29812,9869,5.61,13.61,74.27,1.98,63.19,3.37,59.16,10.03,0
80.45,26344,40.82,31981,19531,6.15,13.69,65.08,5.04,64.68,2.16,59.63,7.7,0
63.79,26547,34.15,30967,75597,7.43,15.02,68.71,4.94,57.17,7.88,54.53,9.28,0
69.31,20618,33.11,27041,1930,6.84,11.2,67.13,4,67.27,3.56,66.08,11.77,0
95.69,36855,48.99,41809,1706,4.93,11.19,72.1,3.33,71.84,2.15,67.5,1.22,0
74.65,41921,44.88,48604,10985,4.66,11.2,76.35,2.58,56.76,11.05,55.1,1.95,0
73.36,21077,42.63,31321,19860,6.59,10.29,64.19,8.01,50.9,4.91,47.1,5.89,0
68.77,25689,36.53,32128,3227,5.04,13.98,59.56,7.88,48.28,4.96,47.35,9.96,0
49.83,26622,27.74,29432,4323,5.77,12.6,65.57,8.19,62.85,11.96,60.53,14.59,0
61.48,20825,29.18,25559,13891,8.93,16.29,57.24,7.15,43.84,6.1,41.96,10.76,0
70.9,22772,32.56,27662,52557,6.54,16.66,58.62,7.25,57.93,6.03,55.46,10.12,0
79.67,37274,38.97,41174,14062,4.9,12.76,77.86,2.5,65.52,6.42,64.24,4.42,0
59.82,28377,31,32701,6287,10.91,11.72,64.25,8.26,42.53,11.27,42.03,9.83,0
74,25910,29.87,31205,7622,5.3,13.37,64.24,5.9,59.56,3.46,58.23,5.99,0
91.62,22806,40.79,29345,4028,9.15,13.7,69.09,1.63,58.17,4.2,55.13,5.29,0
84.98,31665,36.59,37086,16756,5.99,13.25,73.25,2.97,65.58,6.15,62.1,5.96,0
80.92,23038,35.87,29191,1549,4.18,14.45,63.92,3.52,57.1,2.63,56.63,7.31,0
50.33,19955,24.37,23685,7269,4.96,12.71,60.23,9.21,38.65,3.85,40.15,8.31,0
95.17,35483,36.51,40271,539,2.2,12.19,79.82,0.32,67.78,1.32,64.04,2.59,0
98.5,39683,60.12,45494,479,2.95,8.02,87.72,1.02,71.81,0.95,62.58,1.28,0
97.62,28989,47.82,34563,1103,5.59,10.95,76.19,1.65,71.96,1.34,68.38,2.72,0
91.82,19042,39.4,23699,5980,8.53,16.79,61.04,1.57,53.52,2.33,50.37,6.53,0
81.13,28282,41.48,34985,18127,6.11,12.82,66.76,5.7,64.07,2.56,59.63,5.67,0
75.25,21748,36.28,27208,79287,8.12,14.15,65.86,4.29,55.14,7.3,51.44,6.88,0
96.44,21557,39.63,26595,3048,9.34,15.48,65.09,2.82,55.05,3.51,53.72,6.96,0
89.1,23462,39.17,30705,11044,5.67,11.09,72.39,2.67,57.84,3.76,53.86,5.96,0
63.88,29184,38.73,36678,20214,4.52,12.39,66.12,5.86,57.33,2.37,53.67,4.26,0
39.76,18060,20.33,23068,14232,12.45,13.52,52.47,12.32,57.98,9.73,58.32,11.02,0
64.19,22661,34.55,32323,10700,6.63,9.47,60.58,9.77,45.51,3.64,42.12,6.82,0
63.62,23963,36.16,30997,9605,5.67,13.85,55.39,9.15,48.94,2.92,46.79,9.05,0
82.45,23258,34.4,28495,1680,6.5,12.15,75.49,1.84,66.4,4.87,62.56,6.75,0
40.18,15938,22.11,21311,6923,11.24,13.72,49.87,13.82,47.94,9.89,48.81,14.94,0
56.11,18683,25.42,23415,4437,7.69,12.92,53.96,9.7,47.21,4.79,48.8,15.5,0
49.31,18548,28.39,23155,16344,12.78,13.95,61.16,3.93,66.27,6.47,65.01,9.37,0
89.38,32615,54.7,42345,2567,4.91,12.07,73.16,1.41,70.2,1.35,66.51,3.73,0
62.72,17344,23.46,21570,4907,11.14,17.01,53.74,8.32,51.18,8.22,50.98,10.7,0
60.09,28183,37.13,33087,62232,7.6,15.82,61.53,5.53,52.57,8.54,51.32,3.68,0
88.65,30534,46.51,37427,3228,5.96,12.17,64.32,4.64,43.35,1.45,41.6,3.64,0
84.01,20841,49.5,26931,4904,7.32,11.77,54.54,4.06,63.69,4.73,66.78,3.89,0
91.93,22886,35.15,28117,10179,7.94,14.36,67.6,3.33,62.35,2.57,60.5,6.79,0
